destination_name,country,region,travel_style_label,wikivoyage_url
Singapore,Singapore,Southeast Asia,Luxury,https://en.wikivoyage.org/wiki/Singapore
Tokyo,Japan,East Asia,Family,https://en.wikivoyage.org/wiki/Tokyo
Barcelona,Spain,Southern Europe,Family,https://en.wikivoyage.org/wiki/Barcelona
Sydney,Australia,Oceania,Family,https://en.wikivoyage.org/wiki/Sydney
Amsterdam,Netherlands,Western Europe,Family,https://en.wikivoyage.org/wiki/Amsterdam
Vienna,Austria,Western Europe,Family,https://en.wikivoyage.org/wiki/Vienna
Copenhagen,Denmark,Northern Europe,Family,https://en.wikivoyage.org/wiki/Copenhagen
Cancun,Mexico,North America,Family,https://en.wikivoyage.org/wiki/Canc%C3%BAn
Gold Coast,Australia,Oceania,Family,https://en.wikivoyage.org/wiki/Gold_Coast_(Queensland)
Marne-la-Vallee,France,Western Europe,Family,https://en.wikivoyage.org/wiki/Marne-la-Vall%C3%A9e
Dubai,United Arab Emirates,Middle East,Family,https://en.wikivoyage.org/wiki/Dubai
Istanbul,Turkey,Middle East,Culture,https://en.wikivoyage.org/wiki/Istanbul
Marrakech,Morocco,North Africa,Culture,https://en.wikivoyage.org/wiki/Marrakech
Havana,Cuba,Caribbean,Culture,https://en.wikivoyage.org/wiki/Havana
Varanasi,India,South Asia,Culture,https://en.wikivoyage.org/wiki/Varanasi
Petra,Jordan,Middle East,Culture,https://en.wikivoyage.org/wiki/Petra
Bovec,Slovenia,Eastern Europe,Adventure,https://en.wikivoyage.org/wiki/Bovec
Leh,India,South Asia,Adventure,https://en.wikivoyage.org/wiki/Leh
Sossusvlei,Namibia,Southern Africa,Adventure,https://en.wikivoyage.org/wiki/Sossusvlei
Raja Ampat,Indonesia,Southeast Asia,Adventure,https://en.wikivoyage.org/wiki/Raja_Ampat
Flores,Indonesia,Southeast Asia,Adventure,https://en.wikivoyage.org/wiki/Flores_(Indonesia)
Santorini,Greece,Southern Europe,Relaxation,https://en.wikivoyage.org/wiki/Santorini
Langkawi,Malaysia,Southeast Asia,Relaxation,https://en.wikivoyage.org/wiki/Langkawi
Bora Bora,French Polynesia,Oceania,Luxury,https://en.wikivoyage.org/wiki/Bora_Bora
Mahe,Seychelles,East Africa,Relaxation,https://en.wikivoyage.org/wiki/Mah%C3%A9
Lombok,Indonesia,Southeast Asia,Relaxation,https://en.wikivoyage.org/wiki/Lombok
Bucharest,Romania,Eastern Europe,Budget,https://en.wikivoyage.org/wiki/Bucharest
Phnom Penh,Cambodia,Southeast Asia,Budget,https://en.wikivoyage.org/wiki/Phnom_Penh
Yangon,Myanmar,Southeast Asia,Budget,https://en.wikivoyage.org/wiki/Yangon
Quito,Ecuador,South America,Budget,https://en.wikivoyage.org/wiki/Quito
Addis Ababa,Ethiopia,East Africa,Budget,https://en.wikivoyage.org/wiki/Addis_Ababa
Athens,Greece,Southern Europe,Culture,https://en.wikivoyage.org/wiki/Athens
Fez,Morocco,North Africa,Culture,https://en.wikivoyage.org/wiki/Fez
Lima,Peru,South America,Culture,https://en.wikivoyage.org/wiki/Lima
Xi'an,China,East Asia,Culture,https://en.wikivoyage.org/wiki/Xi'an
Cartagena,Colombia,South America,Culture,https://en.wikivoyage.org/wiki/Cartagena_(Colombia)
Huaraz,Peru,South America,Adventure,https://en.wikivoyage.org/wiki/Huaraz
Dahab,Egypt,North Africa,Adventure,https://en.wikivoyage.org/wiki/Dahab
Namche Bazaar,Nepal,South Asia,Adventure,https://en.wikivoyage.org/wiki/Namche_Bazaar
Tofino,Canada,North America,Adventure,https://en.wikivoyage.org/wiki/Tofino
Andasibe,Madagascar,East Africa,Adventure,https://en.wikivoyage.org/wiki/Andasibe
Lake Como,Italy,Western Europe,Luxury,https://en.wikivoyage.org/wiki/Lake_Como
Positano,Italy,Southern Europe,Luxury,https://en.wikivoyage.org/wiki/Positano
Courchevel,France,Western Europe,Luxury,https://en.wikivoyage.org/wiki/Courchevel
Turks and Caicos,United Kingdom,Caribbean,Luxury,https://en.wikivoyage.org/wiki/Turks_and_Caicos
Mauritius,Mauritius,East Africa,Luxury,https://en.wikivoyage.org/wiki/Mauritius
Koh Lanta,Thailand,Southeast Asia,Relaxation,https://en.wikivoyage.org/wiki/Ko_Lanta
Madeira,Portugal,Southern Europe,Relaxation,https://en.wikivoyage.org/wiki/Madeira
Palawan,Philippines,Southeast Asia,Relaxation,https://en.wikivoyage.org/wiki/Palawan
Chiang Rai,Thailand,Southeast Asia,Relaxation,https://en.wikivoyage.org/wiki/Chiang_Rai
Gili Islands,Indonesia,Southeast Asia,Relaxation,https://en.wikivoyage.org/wiki/Gili_Islands
Prague,Czech Republic,Eastern Europe,Culture,https://en.wikivoyage.org/wiki/Prague
Budapest,Hungary,Eastern Europe,Culture,https://en.wikivoyage.org/wiki/Budapest
Jaipur,India,South Asia,Culture,https://en.wikivoyage.org/wiki/Jaipur
Cusco,Peru,South America,Culture,https://en.wikivoyage.org/wiki/Cusco
Zanzibar,Tanzania,East Africa,Relaxation,https://en.wikivoyage.org/wiki/Zanzibar
Nadi,Fiji,Oceania,Relaxation,https://en.wikivoyage.org/wiki/Nadi
Corsica,France,Southern Europe,Relaxation,https://en.wikivoyage.org/wiki/Corsica
Azores,Portugal,Southern Europe,Relaxation,https://en.wikivoyage.org/wiki/Azores
Hammamet,Tunisia,North Africa,Relaxation,https://en.wikivoyage.org/wiki/Hammamet
Oahu,United States,North America,Family,https://en.wikivoyage.org/wiki/O%27ahu
Seminyak,Indonesia,Southeast Asia,Family,https://en.wikivoyage.org/wiki/Seminyak
San Jose,Costa Rica,Central America,Family,https://en.wikivoyage.org/wiki/San_Jos%C3%A9_(Costa_Rica)
Lisbon,Portugal,Southern Europe,Family,https://en.wikivoyage.org/wiki/Lisbon
Dublin,Ireland,Western Europe,Family,https://en.wikivoyage.org/wiki/Dublin
Vancouver,Canada,North America,Family,https://en.wikivoyage.org/wiki/Vancouver
Pattaya,Thailand,Southeast Asia,Family,https://en.wikivoyage.org/wiki/Pattaya
Seville,Spain,Southern Europe,Culture,https://en.wikivoyage.org/wiki/Seville
Dubrovnik,Croatia,Eastern Europe,Culture,https://en.wikivoyage.org/wiki/Dubrovnik
Penang,Malaysia,Southeast Asia,Culture,https://en.wikivoyage.org/wiki/Penang
Oaxaca,Mexico,North America,Culture,https://en.wikivoyage.org/wiki/Oaxaca
Tallinn,Estonia,Northern Europe,Culture,https://en.wikivoyage.org/wiki/Tallinn
Vilnius,Lithuania,Northern Europe,Culture,https://en.wikivoyage.org/wiki/Vilnius
Luxor,Egypt,North Africa,Culture,https://en.wikivoyage.org/wiki/Luxor
Cairo,Egypt,North Africa,Culture,https://en.wikivoyage.org/wiki/Cairo
Samarkand,Uzbekistan,Central Asia,Culture,https://en.wikivoyage.org/wiki/Samarkand
Bukhara,Uzbekistan,Central Asia,Culture,https://en.wikivoyage.org/wiki/Bukhara
Hue,Vietnam,Southeast Asia,Culture,https://en.wikivoyage.org/wiki/Hue
Osaka,Japan,East Asia,Culture,https://en.wikivoyage.org/wiki/Osaka
Agra,India,South Asia,Culture,https://en.wikivoyage.org/wiki/Agra
Hampi,India,South Asia,Culture,https://en.wikivoyage.org/wiki/Hampi
Kotor,Montenegro,Eastern Europe,Culture,https://en.wikivoyage.org/wiki/Kotor
Mostar,Bosnia and Herzegovina,Eastern Europe,Culture,https://en.wikivoyage.org/wiki/Mostar
Salzburg,Austria,Western Europe,Culture,https://en.wikivoyage.org/wiki/Salzburg
Bruges,Belgium,Western Europe,Culture,https://en.wikivoyage.org/wiki/Bruges
Edinburgh,Scotland,Western Europe,Culture,https://en.wikivoyage.org/wiki/Edinburgh
Porto,Portugal,Southern Europe,Culture,https://en.wikivoyage.org/wiki/Porto
Granada,Spain,Southern Europe,Culture,https://en.wikivoyage.org/wiki/Granada
Nara,Japan,East Asia,Culture,https://en.wikivoyage.org/wiki/Nara
Chengdu,China,East Asia,Culture,https://en.wikivoyage.org/wiki/Chengdu
Plovdiv,Bulgaria,Eastern Europe,Culture,https://en.wikivoyage.org/wiki/Plovdiv
Valletta,Malta,Southern Europe,Culture,https://en.wikivoyage.org/wiki/Valletta
Ghent,Belgium,Western Europe,Culture,https://en.wikivoyage.org/wiki/Ghent
Riga,Latvia,Northern Europe,Culture,https://en.wikivoyage.org/wiki/Riga
Galapagos Islands,Ecuador,South America,Adventure,https://en.wikivoyage.org/wiki/Gal%C3%A1pagos_Islands
El Chaltén,Argentina,South America,Adventure,https://en.wikivoyage.org/wiki/El_Chalt%C3%A9n
Wadi Rum,Jordan,Middle East,Adventure,https://en.wikivoyage.org/wiki/Wadi_Rum
Phi Phi Islands,Thailand,Southeast Asia,Adventure,https://en.wikivoyage.org/wiki/Phi_Phi_Islands
Kalymnos,Greece,Southern Europe,Adventure,https://en.wikivoyage.org/wiki/Kalymnos
Ninh Binh,Vietnam,Southeast Asia,Adventure,https://en.wikivoyage.org/wiki/Ninh_Binh
Madikwe,South Africa,Southern Africa,Adventure,https://en.wikivoyage.org/wiki/Madikwe_Game_Reserve
Hvar,Croatia,Eastern Europe,Relaxation,https://en.wikivoyage.org/wiki/Hvar
Capri,Italy,Southern Europe,Relaxation,https://en.wikivoyage.org/wiki/Capri
Kos,Greece,Southern Europe,Relaxation,https://en.wikivoyage.org/wiki/Kos
Crete,Greece,Southern Europe,Relaxation,https://en.wikivoyage.org/wiki/Crete
Lanzarote,Spain,Southern Europe,Relaxation,https://en.wikivoyage.org/wiki/Lanzarote
Tenerife,Spain,Southern Europe,Relaxation,https://en.wikivoyage.org/wiki/Tenerife
Moorea,French Polynesia,Oceania,Relaxation,https://en.wikivoyage.org/wiki/Moorea
Koh Phangan,Thailand,Southeast Asia,Relaxation,https://en.wikivoyage.org/wiki/Ko_Pha_Ngan
Nusa Dua,Indonesia,Southeast Asia,Relaxation,https://en.wikivoyage.org/wiki/Nusa_Dua
Tirana,Albania,Eastern Europe,Budget,https://en.wikivoyage.org/wiki/Tirana
Belgrade,Serbia,Eastern Europe,Budget,https://en.wikivoyage.org/wiki/Belgrade
Sarajevo,Bosnia and Herzegovina,Eastern Europe,Budget,https://en.wikivoyage.org/wiki/Sarajevo
Ho Chi Minh City,Vietnam,Southeast Asia,Budget,https://en.wikivoyage.org/wiki/Ho_Chi_Minh_City
Mandalay,Myanmar,Southeast Asia,Budget,https://en.wikivoyage.org/wiki/Mandalay
La Paz,Bolivia,South America,Budget,https://en.wikivoyage.org/wiki/La_Paz
Bishkek,Kyrgyzstan,Central Asia,Budget,https://en.wikivoyage.org/wiki/Bishkek
Dar es Salaam,Tanzania,East Africa,Budget,https://en.wikivoyage.org/wiki/Dar_es_Salaam
Kampala,Uganda,East Africa,Budget,https://en.wikivoyage.org/wiki/Kampala
Playa del Carmen,Mexico,North America,Budget,https://en.wikivoyage.org/wiki/Playa_del_Carmen
Asuncion,Paraguay,South America,Budget,https://en.wikivoyage.org/wiki/Asunci%C3%B3n
St. Moritz,Switzerland,Western Europe,Luxury,https://en.wikivoyage.org/wiki/St._Moritz
Portofino,Italy,Southern Europe,Luxury,https://en.wikivoyage.org/wiki/Portofino
Cannes,France,Western Europe,Luxury,https://en.wikivoyage.org/wiki/Cannes
Nice,France,Western Europe,Luxury,https://en.wikivoyage.org/wiki/Nice
Palm Beach,United States,North America,Luxury,https://en.wikivoyage.org/wiki/Palm_Beach
Muscat,Oman,Middle East,Luxury,https://en.wikivoyage.org/wiki/Muscat
Abu Dhabi,United Arab Emirates,Middle East,Luxury,https://en.wikivoyage.org/wiki/Abu_Dhabi
Antibes,France,Western Europe,Luxury,https://en.wikivoyage.org/wiki/Antibes
Riviera Maya,Mexico,North America,Luxury,https://en.wikivoyage.org/wiki/Riviera_Maya
New York City,United States,North America,Family,https://en.wikivoyage.org/wiki/New_York_City
London,United Kingdom,Western Europe,Family,https://en.wikivoyage.org/wiki/London
Paris,France,Western Europe,Family,https://en.wikivoyage.org/wiki/Paris
San Diego,United States,North America,Family,https://en.wikivoyage.org/wiki/San_Diego
Quebec City,Canada,North America,Family,https://en.wikivoyage.org/wiki/Quebec_City
Monterey,United States,North America,Family,https://en.wikivoyage.org/wiki/Monterey
Malaga,Spain,Southern Europe,Family,https://en.wikivoyage.org/wiki/Malaga
Nairobi,Kenya,East Africa,Culture,https://en.wikivoyage.org/wiki/Nairobi
Accra,Ghana,West Africa,Culture,https://en.wikivoyage.org/wiki/Accra
Tbilisi old city,Georgia,Central Asia,Culture,https://en.wikivoyage.org/wiki/Tbilisi
Chiang Mai old city,Thailand,Southeast Asia,Culture,https://en.wikivoyage.org/wiki/Chiang_Mai
Bogota,Colombia,South America,Culture,https://en.wikivoyage.org/wiki/Bogot%C3%A1
Mexico City historic,Mexico,North America,Culture,https://en.wikivoyage.org/wiki/Mexico_City
Valparaiso,Chile,South America,Culture,https://en.wikivoyage.org/wiki/Valpara%C3%ADso
Ephesus,Turkey,Middle East,Culture,https://en.wikivoyage.org/wiki/Ephesus
St. Tropez,France,Western Europe,Luxury,https://en.wikivoyage.org/wiki/Saint-Tropez
Marbella,Spain,Southern Europe,Luxury,https://en.wikivoyage.org/wiki/Marbella
Beverly Hills,United States,North America,Luxury,https://en.wikivoyage.org/wiki/Beverly_Hills
Montevideo,Uruguay,South America,Culture,https://en.wikivoyage.org/wiki/Montevideo
Katowice,Poland,Eastern Europe,Budget,https://en.wikivoyage.org/wiki/Katowice
Rarotonga,Cook Islands,Oceania,Relaxation,https://en.wikivoyage.org/wiki/Rarotonga
